*****************New Instance************************
StartTime = 0.000000
New Iteration
2.- Perturbation: 	 93.000000 	 Time: 	 0.000000
3.- Local Search: 	 93.000000 	 Time: 	 0.000000
2.- Perturbation: 	 107.000000 	 Time: 	 0.000000
3.- Local Search: 	 107.000000 	 Time: 	 0.000000
2.- Perturbation: 	 92.000000 	 Time: 	 0.000000
3.- Local Search: 	 92.000000 	 Time: 	 0.000000
2.- Perturbation: 	 94.000000 	 Time: 	 0.000000
3.- Local Search: 	 94.000000 	 Time: 	 0.000000
2.- Perturbation: 	 99.000000 	 Time: 	 0.000000
3.- Local Search: 	 99.000000 	 Time: 	 0.000000
2.- Perturbation: 	 124.000000 	 Time: 	 0.000000
3.- Local Search: 	 124.000000 	 Time: 	 0.000000
2.- Perturbation: 	 116.000000 	 Time: 	 0.000000
3.- Local Search: 	 116.000000 	 Time: 	 0.000000
1.- Communication: 	 66.000000 	 Time: 	 0.000000
New Iteration
2.- Perturbation: 	 112.000000 	 Time: 	 0.000000
3.- Local Search: 	 112.000000 	 Time: 	 0.000000
2.- Perturbation: 	 107.000000 	 Time: 	 0.000000
3.- Local Search: 	 107.000000 	 Time: 	 0.000000
2.- Perturbation: 	 117.000000 	 Time: 	 0.000000
3.- Local Search: 	 117.000000 	 Time: 	 0.000000
2.- Perturbation: 	 124.000000 	 Time: 	 0.000000
3.- Local Search: 	 124.000000 	 Time: 	 0.000000
2.- Perturbation: 	 124.000000 	 Time: 	 0.000000
3.- Local Search: 	 124.000000 	 Time: 	 0.000000
2.- Perturbation: 	 79.000000 	 Time: 	 0.000000
3.- Local Search: 	 79.000000 	 Time: 	 0.000000
2.- Perturbation: 	 91.000000 	 Time: 	 0.000000
3.- Local Search: 	 91.000000 	 Time: 	 0.000000
2.- Perturbation: 	 91.000000 	 Time: 	 0.000000
3.- Local Search: 	 91.000000 	 Time: 	 0.000000
2.- Perturbation: 	 91.000000 	 Time: 	 0.000000
3.- Local Search: 	 91.000000 	 Time: 	 0.000000
2.- Perturbation: 	 106.000000 	 Time: 	 0.000000
3.- Local Search: 	 106.000000 	 Time: 	 0.000000
2.- Perturbation: 	 66.000000 	 Time: 	 0.000000
3.- Local Search: 	 66.000000 	 Time: 	 0.000000
2.- Perturbation: 	 74.000000 	 Time: 	 0.000000
3.- Local Search: 	 74.000000 	 Time: 	 0.000000
2.- Perturbation: 	 83.000000 	 Time: 	 0.000000
3.- Local Search: 	 83.000000 	 Time: 	 0.000000
2.- Perturbation: 	 123.000000 	 Time: 	 0.000000
3.- Local Search: 	 123.000000 	 Time: 	 0.000000
2.- Perturbation: 	 123.000000 	 Time: 	 0.000000
